cassette_number,cassette_code,substrate_barcode,pallette_number,run
Cassette 04,A000046,000001E000290512,21,22
Cassette 04,A000046,000001E000290513,22,22
Cassette 04,A000046,000001E000290514,23,22
Cassette 04,A000046,000001E000290515,24,22
Cassette 04,A000046,000001E000290516,25,22
Cassette 01,A000039,000001E000289990,0,80
Cassette 01,A000039,000001E000290078,1,80
Cassette 01,A000039,000001E000290077,2,80
Cassette 01,A000039,000001E000290074,3,80
Cassette 01,A000039,000001E000290075,4,80
Cassette 01,A000039,000001E000290076,5,80
Cassette 01,A000039,000001E000290071,6,80
Cassette 01,A000039,000001E000290072,7,80
Cassette 01,A000039,000001E000290073,8,80
Cassette 01,A000039,000001E000290068,9,80
Cassette 01,A000039,000001E000290069,10,80
Cassette 01,A000039,000001E000290070,11,80
Cassette 01,A000039,000001E000290061,12,80
Cassette 01,A000039,000001E000290062,13,80
Cassette 01,A000039,000001E000290063,14,80
Cassette 01,A000039,000001E000290064,15,80
Cassette 01,A000039,000001E000290065,16,80
Cassette 01,A000039,000001E000290058,17,80
Cassette 01,A000039,000001E000290059,18,80
Cassette 01,A000039,000001E000290060,19,80
Cassette 01,A000039,000001E000290055,20,80
Cassette 01,A000039,000001E000290056,21,80
Cassette 01,A000039,000001E000290057,22,80
Cassette 01,A000039,000001E000290052,23,80
Cassette 01,A000039,000001E000290053,24,80
Cassette 01,A000039,000001E000290054,25,80
Cassette 02,A000100,000001E000289991,0,80
Cassette 02,A000100,000001E000289976,1,80
Cassette 02,A000100,000001E000289977,2,80
Cassette 02,A000100,000001E000289978,3,80
Cassette 02,A000100,000001E000289979,4,80
Cassette 02,A000100,000001E000289980,5,80
Cassette 02,A000100,000001E000289981,6,80
Cassette 02,A000100,000001E000289982,7,80
Cassette 02,A000100,000001E000289983,8,80
Cassette 02,A000100,000001E000289984,9,80
Cassette 02,A000100,000001E000289985,10,80
Cassette 02,A000100,000001E000289986,11,80
Cassette 02,A000100,000001E000289939,12,80
Cassette 02,A000100,000001E000289940,13,80
Cassette 02,A000100,000001E000289941,14,80
Cassette 02,A000100,000001E000289942,15,80
Cassette 02,A000100,000001E000289943,16,80
Cassette 02,A000100,000001E000289944,17,80
Cassette 02,A000100,000001E000289945,18,80
Cassette 02,A000100,000001E000289946,19,80
Cassette 02,A000100,000001E000289949,20,80
Cassette 02,A000100,000001E000289950,21,80
Cassette 02,A000100,000001E000289951,22,80
Cassette 02,A000100,000001E000289952,23,80
Cassette 02,A000100,000001E000289953,24,80
Cassette 02,A000100,000001E000289954,25,80
Cassette 03,A000101,000001E000289992,0,80
Cassette 03,A000101,000001E000290045,1,80
Cassette 03,A000101,000001E000290046,2,80
Cassette 03,A000101,000001E000290049,3,80
Cassette 03,A000101,000001E000290050,4,80
Cassette 03,A000101,000001E000290051,5,80
Cassette 03,A000101,000001E000290088,6,80
Cassette 03,A000101,000001E000290084,7,80
Cassette 03,A000101,000001E000290085,8,80
Cassette 03,A000101,000001E000290086,9,80
Cassette 03,A000101,000001E000290087,10,80
Cassette 03,A000101,000001E000290089,11,80
Cassette 03,A000101,000001E000290090,12,80
Cassette 03,A000101,000001E000290091,13,80
Cassette 03,A000101,000001E000290092,14,80
Cassette 03,A000101,000001E000290093,15,80
Cassette 03,A000101,000001E000290094,16,80
Cassette 03,A000101,000001E000290095,17,80
Cassette 03,A000101,000001E000290096,18,80
Cassette 03,A000101,000001E000290097,19,80
Cassette 03,A000101,000001E000290098,20,80
Cassette 03,A000101,000001E000290099,21,80
Cassette 03,A000101,000001E000290101,22,80
Cassette 03,A000101,000001E000290102,23,80
Cassette 03,A000101,000001E000290103,24,80
Cassette 03,A000101,000001E000290104,25,80
Cassette 04,A000029,000001E000289987,0,80
Cassette 04,A000029,000001E000290019,1,80
Cassette 04,A000029,000001E000290020,2,80
Cassette 04,A000029,000001E000290021,3,80
Cassette 04,A000029,000001E000290022,4,80
Cassette 04,A000029,000001E000290023,5,80
Cassette 04,A000029,000001E000290024,6,80
Cassette 04,A000029,000001E000290025,7,80
Cassette 04,A000029,000001E000290026,8,80
Cassette 04,A000029,000001E000290027,9,80
Cassette 04,A000029,000001E000290028,10,80
Cassette 04,A000029,000001E000290029,11,80
Cassette 04,A000029,000001E000290038,12,80
Cassette 04,A000029,000001E000290031,13,80
Cassette 04,A000029,000001E000290032,14,80
Cassette 04,A000029,000001E000290033,15,80
Cassette 04,A000029,000001E000290034,16,80
Cassette 04,A000029,000001E000290035,17,80
Cassette 04,A000029,000001E000290036,18,80
Cassette 04,A000029,000001E000290037,19,80
Cassette 04,A000029,000001E000290039,20,80
Cassette 04,A000029,000001E000290040,21,80
Cassette 04,A000029,000001E000290041,22,80
Cassette 04,A000029,000001E000290042,23,80
Cassette 04,A000029,000001E000290043,24,80
Cassette 04,A000029,000001E000290044,25,80
Cassette 01,A000056,000001E000288980,0,79
Cassette 01,A000056,000001E000289084,1,79
Cassette 01,A000056,000001E000289106,2,79
Cassette 01,A000056,000001E000289104,3,79
Cassette 01,A000056,000001E000289105,4,79
Cassette 01,A000056,000001E000289100,5,79
Cassette 01,A000056,000001E000289102,6,79
Cassette 01,A000056,000001E000289103,7,79
Cassette 01,A000056,000001E000289097,8,79
Cassette 01,A000056,000001E000289098,9,79
Cassette 01,A000056,000001E000289099,10,79
Cassette 01,A000056,000001E000289094,11,79
